,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player
0,Fri 3/11,vsLBSU,L67-64,33,3-6,50.0,1-4,25.0,0-0,0.0,5,4,1,0,4,2,7,calvin-wishart
1,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,Hercules Tires Big West Championship - Semifinal,calvin-wishart
2,Thu 3/10,vsUCI,W78-69,34,5-6,83.3,2-3,66.7,2-2,100.0,3,5,0,2,2,1,14,calvin-wishart
3,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,Hercules Tires Big West Championship - Quarterfinal,calvin-wishart
4,Thu 3/3,vsHAW,W67-60,19,1-2,50.0,0-0,0.0,1-2,50.0,2,0,0,1,3,1,3,calvin-wishart
5,Tue 3/1,vsCSUN,W70-61,31,1-4,25.0,0-0,0.0,1-2,50.0,2,5,0,0,1,1,3,calvin-wishart
6,Sat 2/26,@UCR,W97-90 2OT,42,4-5,80.0,2-3,66.7,5-6,83.3,3,1,0,0,4,3,15,calvin-wishart
7,Thu 2/24,@UCD,W76-69 OT,40,0-5,0.0,0-1,0.0,0-0,0.0,2,1,0,2,1,1,0,calvin-wishart
8,Sat 2/19,vsLBSU,W84-71,23,6-8,75.0,3-4,75.0,3-4,75.0,4,0,0,1,3,1,18,calvin-wishart
9,Thu 2/17,vsCSUF,L67-58,33,3-6,50.0,1-4,25.0,3-4,75.0,3,1,0,1,2,1,10,calvin-wishart
10,Sat 2/12,@CP,W69-64,33,1-5,20.0,1-4,25.0,0-0,0.0,0,3,0,1,1,1,3,calvin-wishart
11,Thu 2/10,@CSUB,W74-62,19,1-4,25.0,0-3,0.0,2-3,66.7,1,2,0,0,4,2,4,calvin-wishart
12,Sat 2/5,vsUCSD,W84-48,29,0-2,0.0,0-2,0.0,3-3,100.0,2,8,0,1,1,2,3,calvin-wishart
13,Thu 2/3,vsUCI,L53-52,33,2-7,28.6,1-4,25.0,0-2,0.0,2,3,0,1,3,2,5,calvin-wishart
14,Sat 1/29,@HAW,L65-62,30,2-5,40.0,1-3,33.3,0-0,0.0,5,0,0,0,2,0,5,calvin-wishart
15,Tue 1/25,@CSUN,W72-45,17,1-2,50.0,0-1,0.0,2-3,66.7,6,3,0,2,2,3,4,calvin-wishart
16,Thu 12/30,@UCSD,L85-83 OT,42,1-6,16.7,0-1,0.0,2-2,100.0,3,7,0,2,1,1,4,calvin-wishart
17,Wed 12/22,vsIDST,W56-43,18,0-5,0.0,0-3,0.0,0-1,0.0,3,2,0,1,3,1,0,calvin-wishart
18,Sun 12/19,vsFAMU,W73-62,28,2-8,25.0,1-4,25.0,2-2,100.0,3,8,0,1,3,1,7,calvin-wishart
19,Tue 12/14,@PAC,L80-71 OT,21,0-1,0.0,0-1,0.0,4-5,80.0,1,3,0,1,5,2,4,calvin-wishart
20,Sat 12/11,@SMC,L80-59,24,2-5,40.0,1-3,33.3,1-2,50.0,0,1,0,1,0,1,6,calvin-wishart
21,Sun 12/5,vsCLU,W87-66,21,2-4,50.0,1-2,50.0,0-0,0.0,3,0,1,0,2,0,5,calvin-wishart
22,Fri 12/3,vsPEPP,W86-74,28,5-6,83.3,4-4,100.0,9-9,100.0,2,3,0,2,1,3,23,calvin-wishart
23,Mon 11/29,vsUTA,L70-62,30,4-10,40.0,2-5,40.0,0-1,0.0,4,2,1,2,2,2,10,calvin-wishart
24,Wed 11/24,vsUAPB,W86-58,19,2-4,50.0,0-1,0.0,0-0,0.0,3,3,0,1,4,1,4,calvin-wishart
25,Sat 11/20,vsCHIC,W81-50,25,4-5,80.0,2-3,66.7,2-2,100.0,3,3,0,3,1,3,12,calvin-wishart
26,Mon 11/15,@WSU,L73-65,20,2-4,50.0,0-1,0.0,0-0,0.0,3,1,1,3,2,3,4,calvin-wishart
27,Wed 11/10,vsSFSU,W119-65,22,1-3,33.3,1-1,100.0,6-6,100.0,7,3,0,1,3,3,9,calvin-wishart
28,Total,Total,Total,27.5,2.1-4.9,43.0,0.9-2.5,36.9,1.8-2.3,78.7,2.9,2.8,0.2,1.2,2.3,1.6,7.0,calvin-wishart
